"Golfer","Rank â–¼","Odds"
"Scottie Scheffler","1","4/1"
"Rory McIlroy","2","7/1"
"Xander Schauffele","3","18/1"
"Collin Morikawa","4","18/1"
"Ludvig Aberg","5","20/1"
"Hideki Matsuyama","6","30/1"
"Russell Henley","7","55/1"
"Justin Thomas","8","25/1"
"Viktor Hovland","9","40/1"
"Maverick McNealy","10","140/1"
"Wyndham Clark","11","80/1"
"Tommy Fleetwood","12","40/1"
"Shane Lowry","13","45/1"
"Sepp Straka","14","75/1"
"Keegan Bradley","15","100/1"
"Patrick Cantlay","16","40/1"
"Robert Macintyre","17","60/1"
"Tyrrell Hatton","18","45/1"
"Bryson DeChambeau","19","18/1"
"Billy Horschel","20","150/1"
"Corey Conners","21","70/1"
"Brian Harman","22","100/1"
"Min Woo Lee","23","60/1"
"Akshay Bhatia","24","65/1"
"Sungjae Im","25","110/1"
"Sahith Theegala","26","100/1"
"Thomas Detry","27","170/1"
"Aaron Rai","28","110/1"
"J.J. Spaun","29","130/1"
"Lucas Glover","30","130/1"
"Nick Taylor","31","250/1"
"Adam Scott","32","130/1"
"Tom Kim","33","90/1"
"Tony Finau","34","75/1"
"Byeong-Hun An","35","120/1"
"Jason Day","36","75/1"
"Sam Burns","37","120/1"
"Harris English","38","180/1"
"Justin Rose","39","110/1"
"Denny McCarthy","40","170/1"
"Taylor Pendrith","41","130/1"
"Nick Dunlap","42","350/1"
"Daniel Berger","43","110/1"
"Stephan Jaeger","44","200/1"
"Max Greyserman","45","250/1"
"J.T. Poston","46","250/1"
"Tom Hoge","47","300/1"
"Nicolas Echavarria","48","300/1"
"Davis Thompson","49","110/1"
"Laurie Canter","50","200/1"
"Michael Kim","51","150/1"
"Matthieu Pavon","52","400/1"
"Austin Eckroat","54","350/1"
"Rasmus Hojgaard","55","200/1"
"Matthew McCarty","56","500/1"
"Christiaan Bezuidenhout","57","300/1"
"Cameron Davis","58","300/1"
"Cameron Young","59","200/1"
"Joe Highsmith","62","300/1"
"Jordan Spieth","65","35/1"
"Will Zalatoris","66","65/1"
"Jhonattan Vegas","67","500/1"
"Thriston Lawrence","70","800/1"
"Kevin Yu","72","400/1"
"Chris Kirk","73","350/1"
"Matt Fitzpatrick","74","130/1"
"Jon Rahm","80","13/1"
"Max Homa","81","250/1"
"Nicolai Hojgaard","82","200/1"
"Joaquin Niemann","89","35/1"
"Davis Riley","109","600/1"
"Brian Campbell","113","900/1"
"Patrick Reed","116","100/1"
"Cameron Smith","127","60/1"
"Patton Kizzire","140","900/1"
"Adam Schenk","142","800/1"
"Rafael Campos","194","2000/1"
"Brooks Koepka","","30/1"
"Sergio Garcia","","65/1"
"Dustin Johnson","","100/1"
"Phil Mickelson","","110/1"
"Bubba Watson","","500/1"
"Charl Schwartzel","","500/1"
"Danny Willett","","600/1"
"Zach Johnson","","800/1"
"Jose Luis Ballester","","900/1"
"Justin Hastings","","900/1"
"Evan Beck","","1000/1"
"Bernhard Langer","","1500/1"
"Noah Kent","","1500/1"
"Angel Cabrera","","2000/1"
"Fred Couples","","2000/1"
"Hiroshi Tai","","2000/1"
"Mike Weir","","2000/1"
"Jose Maria Olazabal","","2500/1"