Golfer,Bio
Aaron Rai,"Aaron Rai is making his Masters debut. His best finish in a major championship is T-19 in both the 2021 Open at Royal St George's and the 2024 U.S. Open at Pinehurst No. 2. He finished T-4 in the Mexico Open in February. Last August, he earned his first career PGA Tour win in Greensboro and competed in his first Tour Championship at East Lake. Also in 2024, he finished runner-up in Detroit and T-4 in the Byron Nelson in Texas, Scottish Open and the DP World Tour's flagship event in England. His other worldwide wins include the Hong Kong Open in 2018 and the Scottish Open in 2020."
Adam Schenk,"Adam Schenk is making his second Masters start after finishing T-12 in his Tournament debut in 2024. He started 2025 by finishing T-6 in Honolulu in January. Other high finishes last year included T-5 in San Antonio, T-13 in the Byron Nelson in Texas, T-17 in Phoenix and T-19 in the Players Championship. In 2023, he finished T-9 in his first Tour Championship at East Lake for his seventh top-10 finish of that season. He also finished runner-up in Tampa and Fort Worth, T-6 in Memphis and T-7 in the Memorial Tournament in 2023."
Adam Scott,"Adam Scott is making his 24th Masters start. He won the 2013 Masters in a playoff over Angel Cabrera on a rainy Sunday afternoon to become Australia's first Tournament champion. In the years prior to his victory, numerous Australians had finished runner-up in the Masters, including Jim Ferrier, Greg Norman, Jason Day and Scott himself. He has made the cut in each of the past 15 years at Augusta National. In 2024, he finished runner-up in Scotland and Colorado, T-3 in the DP World Tour Championship in Dubai, T-4 in the Tour Championship at East Lake and T-10 in The Open at Royal Troon. Also last year, he represented the International team in his 11th consecutive Presidents Cup."
Akshay Bhatia,"Akshay Bhatia is making his second Masters start. He finished T-3 in the Players Championship in March. Last April, he won in San Antonio to earn the final invitation to the 2024 Tournament. By earning his second career PGA Tour win on the day of the 10th playing of the Drive, Chip and Putt National Finals, the 2014 National Finalist became the first past Drive, Chip and Putt participant to earn an invitation to the Masters. Later in 2024, he competed in his first Tour Championship at East Lake and finished runner-up in events in Detroit and Japan. Before turning professional, the three-time junior All-American and 2018 AJGA Boys Player of the Year represented the United States in the Junior Presidents Cup, Junior Ryder Cup and Walker Cup."
Angel Cabrera,"Angel Cabrera is making his 21st Masters start. He won the 2009 Masters in a playoff over Kenny Perry and Chad Campbell to become South America's first Tournament champion. Four years later in 2013, he finished runner-up to Adam Scott at Augusta National. He also won the 2007 U.S. Open and is one of six to win major championships at Augusta National and Oakmont, with Gene Sarazen, Sam Snead, Ben Hogan, Jack Nicklaus and Dustin Johnson. He is one of two South American major champions with fellow Argentine Roberto de Vicenzo who won the 1967 Open at Royal Liverpool. In April, he earned his first career PGA Tour Champions win with a victory in Florida. In 2024, he had five top-25 finishes on the PGA Tour Champions, including T-5 in the Senior Open Championship at Carnoustie."
Austin Eckroat,"Austin Eckroat is making his second Masters start. In 2024, he earned his first two career PGA Tour wins with victories in Palm Beach Gardens in March and Mexico in November. Also last year, he finished sixth in Greensboro and T-18 in the PGA Championship at Oak Hill. In 2023 as a rookie on the PGA Tour, he had four top-10 finishes, including runner-up in the Byron Nelson in Texas, T-8 in St. Simons Island and T-10 in the U.S. Open at The Los Angeles Country Club. Before turning professional, the four-time All-American at Oklahoma State University was a member of the 2018 NCAA Division I Men's Golf Championship-winning team and represented the United States in both the Arnold Palmer Cup and Walker Cup."
Bernhard Langer,"Bernhard Langer is making his 41st Masters start. The 1985 and 1993 Masters champion has announced that this will be his final Tournament as a participant. He made his Masters debut in 1982 as Germany's first Tournament participant. When he won for the first time 40 years ago, he joined South Africa's Gary Player and Spain's Seve Ballesteros as international Masters champions. The World Golf Hall of Fame member's career also includes winning 42 times on the DP World Tour and representing Europe in 10 Ryder Cups between 1981 and 2002. Since turning 50 in 2007, he has become a 47-time winner and 12-time senior major champion on the PGA Tour Champions and last November, he won in Phoenix to extend his streak of years with a win to 18."
Billy Horschel,"Billy Horschel is making his 10th Masters start. He finished T-4 in Tampa in March. In 2024, he won a PGA Tour event in the Dominican Republic and the DP World Tour's flagship event in England, finished runner-up in The Open at Royal Troon and T-8 in the PGA Championship at Valhalla and competed in his seventh Tour Championship at East Lake. He has earned official PGA Tour wins in stroke-play, match-play and team-play events, including the 2014 Tour Championship, 2021 WGC-Match Play and 2022 Memorial Tournament. Before turning professional, the four-time All-American at the University of Florida represented the United States in both the Arnold Palmer Cup and Walker Cup."
Brian Campbell,"Brian Campbell is making his Masters debut and fourth major championship start. In the 2015 U.S. Open at Chambers Bay, he finished T-27 to earn low amateur honors. In February, the two-time All-American at the University of Illinois won the Mexico Open in a playoff over Aldrich Potgieter to earn his first career PGA Tour win. He earned his PGA Tour card for the 2025 season through his performance on the Korn Ferry Tour last year. He finished seventh on the season-long points list with three runner-up performances and a T-3 finish in the Argentine Open in 2024."
Brian Harman,"Brian Harman is making his seventh Masters start. He won in San Antonio in April for his fourth career PGA Tour win. In 2024, he finished runner-up in the Players Championship and represented the United States in his first Presidents Cup. In 2023, he won The Open at Royal Liverpool by six strokes to join Bob Charles, Mike Weir, Phil Mickelson and Bubba Watson as left-handed major champions. Later that year, he represented the United States in his first Ryder Cup. Before turning professional, the three-time All-American at the University of Georgia won the 2003 U.S. Junior Amateur and represented his country in both the Arnold Palmer Cup and Walker Cup."
Brooks Koepka,"Brooks Koepka is making his 10th Masters start. He has top-seven finishes at Augusta National in three of the past six years and was runner-up in 2019 to Tiger Woods and in 2023 to Jon Rahm. One month after finishing second to Rahm, he won the PGA Championship at Oak Hill to join Byron Nelson, Peter Thomson and Seve Ballesteros as five-time major champions. Over 23 months in 2017-2019, he won the U.S. Open and PGA Championship twice each and for one month in 2019, he was the two-time defending champion of both majors. He has represented the United States in each of the past four Ryder Cups in 2016, 2018, 2021 and 2023."
Bryson Dechambeau,"Bryson DeChambeau is making his ninth Masters start. In last year's Tournament, the 2016 Masters Low Amateur led after 18 holes with an opening-round 65 and was tied for the lead after 36 holes before finishing T-6 at Augusta National. After finishing runner-up to Xander Schauffele in the PGA Championship in May, he won the U.S. Open at Pinehurst No. 2 in June by one stroke over Rory McIlroy. It was his second major championship win and first since his victory in the 2020 U.S. Open at Winged Foot. He is one of three to win the U.S. Open, U.S. Amateur and NCAA Division I Men's Golf Individual Championship with Jack Nicklaus and Tiger Woods. He has represented the United States in the Arnold Palmer Cup, Walker Cup, Ryder Cup and Presidents Cup."
Bubba Watson,"Bubba Watson is making his 17th Masters start. He won the 2012 and 2014 Masters and is one of 18 players to have won more than once. In 2012, he defeated Louis Oosthuizen with the help of a spectacular 52-degree wedge shot from the trees on the second extra hole on No. 10. In 2014, he defeated Tournament rookies Jordan Spieth and Jonas Blixt by three strokes. He is one of five left-handed major champions with fellow Masters champions Mike Weir and Phil Mickelson as well as 1963 Open champion Bob Charles and 2023 Open champion Brian Harman. He has represented the United States in the Ryder Cup, Presidents Cup and the Olympics."
Byeong Hun An,"Byeong Hun An is making his sixth Masters start. In 2024, he recorded his best Tournament finish in his first start at Augusta National since 2020. Also last year, he competed in his first Tour Championship at East Lake, represented his country in both the Olympics and the Presidents Cup for the second time and won a DP World Tour event in South Korea. Other high finishes worldwide included runner-up in Honolulu, third in Charlotte, fourth in Maui and the Byron Nelson in Texas and T-13 in The Open at Royal Troon. His victory in South Korea last October was his second on the DP World Tour and first since 2015 when he won the tour's flagship event in England. He won the 2009 U.S. Amateur at Southern Hills at the age of 17 and is still the youngest winner of that championship."
Cam Davis,"Cameron Davis is making his third Masters start. In 2024, he earned his second career PGA Tour win in Detroit and finished T-5 in Colorado and T-6 in the Australian PGA Championship. In 2023, he had 10 top-12 finishes worldwide, including T-4 in the PGA Championship and T-6 in the Players Championship. In 2022, he was a member of Trevor Immelman's International team in the Presidents Cup at Quail Hollow Club in Charlotte. Before turning professional, he was low individual and part of the winning Australian team in the 2016 Eisenhower Trophy in Mexico and in two starts in the Asia-Pacific Amateur Championship, he finished runner-up in 2015 in Hong Kong and fourth in 2016 in South Korea."
Cameron Smith,"Cameron Smith is making his ninth Masters start. He has top-10 finishes in five of the past seven Masters and has never missed the cut at Augusta National. In 2020, he finished runner-up with scores of 67-68-69-69, became the first to shoot four rounds under 70 in a single Tournament. In the last two months of 2024, he had four top-three finishes worldwide, including runner-up in the Australian PGA Championship. In 2022, he won The 150th Open at St Andrews with a final-round 64 on the Old Course. He joined a list of those to raise the Claret Jug at St Andrews that includes Bobby Jones, Sam Snead, Peter Thomson, Jack Nicklaus, Seve Ballesteros, Nick Faldo and Tiger Woods."
Cameron Young,"Cameron Young is making his fourth Masters start. In the past two years at Augusta National, he finished T-7 in 2023 and T-9 in 2024. He has five top-10 finishes in 14 major championship starts, including runner-up in The Open at St Andrews and T-3 in the PGA Championship at Southern Hills in 2022. His high finishes in 2024 included runner-up in Tampa, third in Dubai, T-6 in Detroit and T-9 in Hartford. He was named 2022 PGA Tour Rookie of the Year after competing in the Tour Championship and representing the United States in the Presidents Cup."
Charl Schwartzel,"Charl Schwartzel is making his 16th Masters start. He won the 2011 Masters by two strokes over Jason Day and Adam Scott after closing with second-nine birdies on Nos. 15, 16, 17 and 18. He became the first champion to make birdie on each of the last four holes in the final round to win and second to play holes 15-18 in four under par with Jack Nicklaus in 1986. He joined Gary Player and Trevor Immelman as Masters champions representing South Africa and won the 75th Tournament 50 years to the day after Player became the first international champion in 1961. Last December, he finished runner-up in an Asian Tour event in Qatar and T-15 in a DP World Tour event in South Africa."
Chris Kirk,"Chris Kirk is making his sixth Masters start. He has top-25 finishes at Augusta National in each of the past two years and his third-round 68 last year was the low score of the day. In 2024, he won the PGA Tour's season-opening event in Maui and after finishing T-9 in Colorado in August, he competed in his second Tour Championship at East Lake and first since 2014. In 2023, he won in Palm Beach Gardens and finished third in Honolulu and La Quinta. Before turning professional, the three-time All-American at the University of Georgia represented the United States in the Arnold Palmer Cup and Walker Cup."
Christiaan Bezuidenhout,"Christiaan Bezuidenhout is making his fourth Masters start and his first since 2022. He has made the cut in each of his three starts at Augusta National. He finished T-4 in Phoenix in February. In 2024, he competed in his first Tour Championship at East Lake, represented his country in the Olympics and the Presidents Cup for the second time and finished runner-up in La Quinta, T-3 in a DP World Tour event in Japan and fourth in the Memorial Tournament. From June 2019 – December 2020, he won four times around the world to raise his world ranking and earn his first invitations to major championships and in 2021, he earned his PGA Tour card through the Korn Ferry Tour Finals."
Collin Morikawa,"Collin Morikawa is making his sixth Masters start. He has finished inside the top 10 in each of the past three years and has never missed the cut at Augusta National. He finished runner-up in Maui in January and the Arnold Palmer Invitational in Orlando in March. In 2024, he finished inside the top 20 in all four majors, recorded runner-up performances in both the Memorial Tournament and Tour Championship and represented the United States in both the Olympics and Presidents Cup for the second time. He is the first to win two different major championships in his debut with his victories in the 2020 PGA Championship and the 2021 Open. Before turning professional, he represented his country in both the Arnold Palmer Cup and Walker Cup."
Corey Conners,"Corey Conners is making his eighth Masters start. He finished inside the top 10 at Augusta National in three consecutive years in 2020, 2021 and 2022. He has four top-10 finishes worldwide in 2025, including third in the Arnold Palmer Invitational and T-6 in the Players Championship in consecutive weeks in March. In 2024, he recorded top-10 finishes in the U.S., Canadian and Scottish Opens and represented Canada in both the Olympics and the Presidents Cup for the second time. In the Presidents Cup, he competed at Royal Montreal Golf Club as one of three Canadian players on an International team led by Mike Weir. In both 2019 and 2023, he won the PGA Tour event in San Antonio to earn the final invitation to those years' Masters."
Daniel Berger,"Daniel Berger is making his sixth Masters start and first since 2022. In 2025, he has six top-25 finishes worldwide, including runner-up in Phoenix and 12th in San Diego in consecutive weeks in February. Late last year, he finished seventh in Mississippi and runner-up in St. Simons Island for his first top-10 finishes since June 2022. He missed over a year and a half of competition from 2022-2024 due to debilitating back pain. In his first seven full seasons on the PGA Tour from 2015-2021, he won four times, competed in five Tour Championships and represented the United States on winning teams in the Presidents Cup in 2017 and the Ryder Cup in 2021."
Danny Willett,"Danny Willett is making his 11th Masters start. He won the 2016 Masters by three strokes over Jordan Spieth and Lee Westwood. He was five strokes back with six holes to play as Spieth started his second nine. His bogey-free 67 in the final round included birdies on Nos. 13, 14 and 16 and he became England's second Masters champion and first since Nick Faldo won his third title in 1996. His eight DP World Tour wins include its flagship event in England in 2019 and its season-ending Tour Championship in Dubai in 2018. He has represented his country and continent in the Walker Cup, Ryder Cup and the Olympics and before turning professional, he spent 12 weeks in 2008 as the top-ranked amateur in the world."
Davis Riley,"Davis Riley is making his Masters debut. He finished T-6 in the Puerto Rico Open and seventh in Tampa in March. In 2024, he won in Fort Worth by five strokes over Keegan Bradley and Scottie Scheffler for his second career PGA Tour win. In 2023, he and Nick Hardy won a team event in New Orleans. As a PGA Tour rookie in 2022, he notably finished runner-up in Tampa, T-4 in both New Orleans and Fort Worth and T-13 in the PGA Championship at Southern Hills. While attending the University of Alabama, he was a two-time All-American and represented the United States in the 2018 Arnold Palmer Cup. He twice reached the final of the U.S. Junior Amateur, finishing runner-up to Scottie Scheffler in 2013 and to Will Zalatoris in 2014."
Davis Thompson,"Davis Thompson is making his Masters debut. He finished T-10 in the Players Championship in March. Last July, he won in Silvis, Illinois by four strokes over C.T. Pan, Michael Thorbjornsen and amateur Luke Clanton to earn his first career PGA Tour win. Also in 2024, he finished runner-up in Myrtle Beach and Detroit, T-5 in Las Vegas and T-9 in the U.S. Open at Pinehurst No. 2. As a PGA Tour rookie in 2023, he finished runner-up to Jon Rahm in La Quinta, California. Before turning professional, the three-time All-American at the University of Georgia spent eight weeks as the top-ranked amateur in the world and represented the United States in the 2020 Arnold Palmer Cup and 2021 Walker Cup."
Denny Mccarthy,"Denny McCarthy is making his second Masters start. He has finished inside the top five in Strokes Gained: Putting on the PGA Tour in five of the past six seasons. In February, he finished T-5 at Torrey Pines. In 2024, he had four top-10 finishes, including runner-up in San Antonio, T-6 in Charlotte and ninth in Memphis. In 2023, he had seven top-10 finishes, including runner-up in the Memorial Tournament and T-4 in the AT&T Pebble Beach Pro-Am. He finished T-7 in the 2022 U.S. Open at The Country Club in Massachusetts for his highest finish in a major championship. Before turning professional, he represented the United States in both the Eisenhower Trophy and Walker Cup."
Dustin Johnson,"Dustin Johnson is making his 15th Masters start. He won the 2020 Masters by five strokes over Sungjae Im and Cameron Smith. He held at least a share of the lead after all four rounds and his winning score of 20-under-par 268 set a new Tournament record for low 72-hole score. He is one of five to win the Masters as No. 1 in the Official World Golf Ranking, along with Ian Woosnam, Fred Couples, Tiger Woods and Scottie Scheffler. The 2016 U.S. Open champion is one of six to win major championships at Augusta National and Oakmont, with Gene Sarazen, Sam Snead, Ben Hogan, Jack Nicklaus and Angel Cabrera. He has represented the United States in the Arnold Palmer Cup, Walker Cup, Ryder Cup and Presidents Cup."
Evan Beck,"Evan Beck is making his Masters debut and first major championship start. Last September at Kinloch Golf Club in Virginia, he won the U.S. Mid-Amateur by defeating Bobby Massa in the final, 9&8. With his victory, he earned the Robert T. Jones Jr. Memorial Trophy and places in the fields for both the Masters and U.S. Open in 2025. It was his first USGA title after finishing runner-up in both the 2008 U.S. Junior Amateur and 2023 U.S. Mid-Amateur. Also in 2024, he won both the George L. Coleman Invitational at Seminole Golf Club and the George C. Thomas Invitational at The Los Angeles Country Club. In December, he was among a group of American players to participate in a practice session for the 2025 Walker Cup."
Fred Couples,"Fred Couples is making his 40th Masters start. He becomes the 15th player in Masters history to make at least 40 starts at Augusta National. He won the 1992 Masters as World No. 1 by two strokes over 1976 champion Raymond Floyd. In 2023, he made more history at Augusta National when he became the oldest to ever make the cut at 63 years, 6 months, 5 days of age and moved into second place behind Jack Nicklaus in total cuts made with 31. The World Golf Hall of Fame member has 11 top-10 and 20 top-25 finishes at Augusta National and has completed 72 holes in five different decades."
Harris English,"Harris English is making his sixth Masters start. He has top-10 finishes in the U.S. Open in three of the past five years, including third in 2021 at Torrey Pines and fourth in 2020 at Winged Foot. In January, he won at Torrey Pines in San Diego for his first win since his victory in Hartford in June 2021. Last year, he had four top-10 finishes worldwide, including T-6 in Utah, seventh in Los Angeles and T-9 in Las Vegas. In addition to his victories on the PGA Tour, he was a member of the winning United States team in the 2021 Ryder Cup. Before turning professional, he was a four-time All-American at the University of Georgia and represented his country in the 2011 Walker Cup."
Hideki Matsuyama,"Hideki Matsuyama is making his 14th Masters start. He has top-20 finishes at Augusta National in eight of the past 10 years. He won the 2021 Masters by one stroke over Will Zalatoris to become Japan's first male major champion and the seventh past Masters Low Amateur to win, with Cary Middlecoff, Jack Nicklaus, Ben Crenshaw, Phil Mickelson, Tiger Woods and Sergio Garcia. He started 2025 by winning the PGA Tour's season-opening event in Maui in January. In 2024, he won in Los Angeles and Memphis, earned the Olympic bronze medal for Japan and competed in his 10th Tour Championship and sixth Presidents Cup. Before turning professional, he won the Asia-Pacific Amateur Championship in both 2010 and 2011."
Hiroshi Tai,"Hiroshi Tai is making his Masters debut. He is the first player representing Singapore to compete in the Masters Tournament. Last May, he won the 2024 NCAA Division I Men's Individual Championship for Georgia Tech by one stroke over six players, including Florida State's Luke Clanton and Vanderbilt's Gordon Sargent. He joined a list of champions that includes Jack Nicklaus, Ben Crenshaw, Phil Mickelson, Tiger Woods and Bryson DeChambeau. Also last year, the 2024 First Team All-American made his major championship debut in the U.S. Open at Pinehurst No. 2. He represented Singapore in the Eisenhower Trophy in 2022 in France and 2023 in Abu Dhabi and finished 14th in the 2019 Asia-Pacific Amateur Championship in China."
J.J. Spaun,"J.J. Spaun is making his second Masters start and first since 2022. Three years ago, he received the final Tournament invitation when he earned his first career PGA Tour win in San Antonio just four days before the opening round. His T-23 finish at Augusta National is his best performance in a major championship. Earlier this year, he finished runner-up in Palm Beach Gardens and the Players Championship in March and T-3 in Honolulu in January. In 2024, he finished T-10 in Detroit, T-9 in Minnesota, T-3 in Greensboro and T-6 in Japan. Before turning professional, he was a two-time All-American at San Diego State University."
J.T. Poston,"J.T. Poston is making his fourth Masters start. In 2024, he recorded his two highest finishes in major championships with a T-30 in the Masters and T-32 in the U.S. Open at Pinehurst No. 2. Also last year, he won in Las Vegas and finished T-5 in Maui, Hilton Head Island and St. Simons Island. His victory in Las Vegas last October was his third on the PGA Tour and first since 2022 when he won in Silvis, Illinois. Three years earlier in 2019, the North Carolina native earned his first victory on the PGA Tour in Greensboro where he became the first since Lee Trevino in 1974 in New Orleans to win while bogey-free for 72 holes."
Jason Day,"Jason Day is making his 14th Masters start. He finished runner-up in his Tournament debut in 2011 and finished third in 2013 and T-5 in 2019 at Augusta National. He finished T-3 in La Quinta and T-8 in the Arnold Palmer Invitational in Orlando earlier this year. In 2024, he recorded top-eight finishes in Charlotte, Pebble Beach and the Australian PGA Championship and represented Australia in his first Olympics and fifth Presidents Cup. In 2023, he won the Byron Nelson in Texas to end a five-year winless drought, finished runner-up in The Open at Royal Liverpool and competed in the Tour Championship at East Lake for the first time since 2018. With his runner-up finish in The Open, the 2015 PGA champion became the ninth player to finish second in all four major championships."
Jhonattan Vegas,"Jhonattan Vegas is making his fourth Masters start and first since 2018. He became Venezuela's first Masters participant when he made his Tournament debut in 2011. He started 2025 by finishing fourth in Maui in January. Last July, he won in Minnesota by one stroke over Max Greyserman for his fourth career PGA Tour win and first in seven years. He won the Canadian Open in consecutive years in 2016 and 2017 and when he won in La Quinta in 2011, he became Venezuela's first winner on the PGA Tour. He has represented his country in both the Olympics and Presidents Cup."
Joaquin Niemann,"Joaquin Niemann is making his sixth Masters start. He has finished inside the top 25 in each of the past two years at Augusta National. He made his Tournament debut in 2018 as the reigning Latin America Amateur champion and the top-ranked amateur in the world. He finished T-3 in an Asian Tour event in India in February and late last year, he finished T-7 in the DP World Tour Championship in Dubai and won an Asian Tour event in Saudi Arabia. Also in 2024, he represented Chile in the Olympics for the second time. Late in 2023, he finished fifth in the Australian PGA Championship before winning the Australian Open to join a list of winners that includes Gene Sarazen, Gary Player, Jack Nicklaus, Arnold Palmer, Tom Watson and Rory McIlroy."
Joe Highsmith,"Joe Highsmith is making his Masters debut and second major championship start. He competed in the 2021 U.S. Open at Torrey Pines as an amateur. In March, he won in Palm Beach Gardens by two strokes over Jacob Bridgeman and J.J. Spaun to earn his first career PGA Tour win. He retained his PGA Tour card for the 2025 season after recording five top-20 finishes last fall, including fifth in Mexico, T-6 in Utah and T-11 in St. Simons Island. Before turning professional, he was a two-time All-American at Pepperdine University and helped his school win the 2021 NCAA Division I Men's Golf Championship. He also represented the United States in the Junior Presidents Cup in 2017."
Jon Rahm,"Jon Rahm is making his ninth Masters start. He has top-10 finishes in five of his eight Masters starts and has never missed the cut at Augusta National. He won the 2023 Masters by four strokes over Brooks Koepka and Phil Mickelson to become Spain's fourth Tournament champion, with Seve Ballesteros, Jose Maria Olazabal and Sergio Garcia. Two years earlier in 2021, he won the U.S. Open at Torrey Pines and is one of three international players to win both majors, along with South Africa's Gary Player and Argentina's Angel Cabrera. In the second half of 2024, he finished runner-up in the Spanish Open, T-5 in the Olympics in Paris and T-7 in both The Open at Royal Troon and a DP World Tour event in St Andrews."
Jordan Spieth,"Jordan Spieth is making his 12th Masters start. He won the 2015 Masters by four strokes over Phil Mickelson and Justin Rose at the age of 21 with a score of 18-under-par 270. He has top-four finishes in six of his 11 starts at Augusta National, including runner-up in 2014 and 2016. The three-time major champion is one of eight to win the Masters, U.S. Open and The Open, with Gene Sarazen, Ben Hogan, Gary Player, Jack Nicklaus, Tiger Woods, Arnold Palmer and Tom Watson. He has two top-10 finishes worldwide in 2025, including T-4 in Phoenix in February. He finished T-4 in Phoenix in February. Last August, he underwent surgery on his left wrist and did not compete again in 2024. He has represented the United States in the Ryder Cup, Presidents Cup and Walker Cup."
Jose Luis Ballester Barrio,"Jose Luis Ballester is making his Masters debut. Last August at Hazeltine National Golf Club in Minnesota, he won the U.S. Amateur by defeating Noah Kent in the final, 2 up. With his victory, he became the first Spaniard to win that championship and the second to win a USGA title, joining 2021 U.S. Open champion Jon Rahm. The Arizona State University senior has three top-five finishes this season, including a win in the Fighting Illini Invitational and runner-up in the Sahalee Players Championship last fall. In each of the past three years, he has earned All-America honors at Arizona State and was a member of the International team in the Arnold Palmer Cup. He won the European Amateur in 2023 and represented Spain in the Eisenhower Trophy in both 2022 and 2023."
Jose Maria Olazabal,"Jose Maria Olazabal is making his 36th Masters start. Forty years ago he made his Tournament debut as the reigning Amateur champion. In 2024 at the age of 58, he made the cut while celebrating multiple Masters anniversaries. Thirty years earlier in 1994, he defeated Tom Lehman by two strokes to win his first Green Jacket and 25 years earlier in 1999, he defeated Davis Love III by two strokes to join his hero, friend and fellow Spaniard Seve Ballesteros as a two-time champion. In addition to winning twice, he also finished inside the top 15 at Augusta National 13 times between 1989 and 2006. The World Golf Hall of Fame member also represented Europe in seven Ryder Cups and was 11-2-2 when paired with Seve Ballesteros."
Justin Hastings,"Justin Hastings is making his Masters debut and first major championship start. He becomes the second player representing the Cayman Islands to compete in the Masters, joining 2022 Latin America Amateur champion Aaron Jarvis. In January, he won the Latin America Amateur Championship at Pilar Golf Club in Argentina by one stroke over Peru's Patrick Sparks. He improved his performance in each of his six Championship starts, finishing 50th in his debut in 2018 as a 14-year-old followed by T-28 in 2020, T-22 in 2022, T-19 in 2023 and fourth in 2024 before winning in 2025. The San Diego State University senior has represented the Cayman Islands in both the Eisenhower Trophy and Pan American Games."
Justin Rose,"Justin Rose is making his 20th Masters start. He has top-25 finishes in 11 of the past 14 years at Augusta National and was runner-up in 2015 to Jordan Spieth and 2017 to Sergio Garcia. He finished T-3 in the AT&T Pebble Beach Pro-Am and T-8 in the Arnold Palmer Invitational in Orlando earlier this year. Last July, he finished runner-up in The Open at Royal Troon after playing his way into the field through Final Qualifying. Also in 2024, he finished T-6 in the PGA Championship at Valhalla. The 2013 U.S. Open champion and 2016 Olympic Gold Medalist has represented Europe in six Ryder Cups and before turning professional, he represented Great Britain & Ireland in the 1997 Walker Cup at the age of 17."
Justin Thomas,"Justin Thomas is making his 10th Masters start. He has top-25 finishes in six of his nine starts at Augusta National, including fourth in 2020 and T-8 in 2022. He has four top-10 finishes worldwide in 2025, including runner-up in La Quinta in January and in Tampa in March. In the second half of 2024, the two-time PGA champion competed in his eighth Tour Championship at East Lake and closed his year by finishing runner-up in Japan and third in the Bahamas. As an amateur and a professional, he has represented the United States in the Eisenhower Trophy, Arnold Palmer Cup, Walker Cup, Ryder Cup, Presidents Cup and the Olympics."
Keegan Bradley,"Keegan Bradley is making his ninth Masters start. He has finished inside the top 25 at Augusta National in each of the past two years. Earlier this year, he finished T-5 in the Arnold Palmer Invitational in Orlando and T-6 in Honolulu. Last July, he was named captain of the United States team for this year's Ryder Cup at Bethpage State Park's Black Course in New York. Also in 2024, he won in Colorado, finished runner-up in Honolulu and Fort Worth, competed in the Tour Championship at East Lake and represented the United States in the Presidents Cup in Canada. In 2023, he competed in the Tour Championship after winning in Japan in October 2022 and in Hartford in June of that year. He won the 2011 PGA Championship at Atlanta Athletic Club in his first major championship start."
