Golfer,Bio
Kevin Yu,"Kevin Yu is making his Masters debut. In October in Mississippi, he defeated Beau Hossler in a playoff to earn his first career PGA Tour win and joined T.C. Chen and C.T. Pan as Tour winners representing Chinese Taipei. Also in 2024, he represented his country in the Olympics and finished T-3 in La Quinta and T-4 in Myrtle Beach. Before turning professional, he was a two-time All-American at Arizona State University and became the top-ranked amateur in the world in November 2020. He also represented Chinese Taipei in both the Eisenhower Trophy and Arnold Palmer Cup and recorded four top-six finishes in the Asia-Pacific Amateur Championship."
Laurie Canter,"Laurie Canter is making his Masters debut. He finished inside the top 25 in The Open in each of the past two years. Earlier in 2025, he won a DP World Tour event in Bahrain and finished runner-up in the South African Open and third in Dubai. Last year, he won the European Open in Germany for his first career DP World Tour victory to join the list of winners that includes Sandy Lyle, Bernhard Langer, Ian Woosnam and Nick Faldo. He also finished T-7 in Belgium and T-14 in the season-ending DP World Tour Championship in Dubai in 2024. Before turning professional, he won both the 2010 South African Amateur and 2011 Spanish Amateur Championships and represented England in the 2010 Eisenhower Trophy in Argentina."
Lucas Glover,"Lucas Glover is making his 11th Masters start. Earlier this year, he finished T-3 in both the AT&T Pebble Beach Pro-Am and the Players Championship. Last October, he finished T-3 in Mississippi and Utah in consecutive weeks. In August 2023, he won in Greensboro and Memphis in consecutive weeks for his first PGA Tour wins since 2021 and competed in his first Tour Championship at East Lake since 2019. He won the 2009 U.S. Open at Bethpage State Park's Black Course by two strokes over Phil Mickelson, David Duval and Ricky Barnes. Before turning professional, the three-time All-American at Clemson University represented the United States in both the Arnold Palmer Cup and Walker Cup."
Ludvig Aberg,"Ludvig Åberg is making his second Masters start. In 2024, he finished runner-up in his Tournament and major debut. Since Fuzzy Zoeller won in 1979 in his first Masters start, he is one of seven to finish second in his debut, with Dan Pohl (1982), Jason Day (2011), Jonas Blixt (2014), Jordan Spieth (2014), Sungjae Im (2020) and Will Zalatoris (2021). In February, he won at Torrey Pines for his second career PGA Tour win. Other highlights of last year include finishing runner-up in Pebble Beach and Colorado, competing in his first Tour Championship at East Lake and representing Sweden in the Olympics in Paris. He turned professional in June 2023 after concluding his collegiate career at Texas Tech as the top-ranked amateur in the world."
Matt Fitzpatrick,"Matt Fitzpatrick is making his 11th Masters start. He has finished inside the top 25 at Augusta National in each of the past three years. In 2024, he represented Great Britain in the Olympics in Paris and finished fifth in both the Players Championship and the Memorial Tournament. In 2023, he won in Hilton Head Island and St Andrews, competed in his second Tour Championship and represented Europe in his third Ryder Cup. He won both the 2013 U.S. Amateur and the 2022 U.S. Open at The Country Club in Brookline, Massachusetts. Other notable accomplishments before turning professional include winning the 2012 R&A Boys' Amateur, representing Great Britain & Ireland in the 2013 Walker Cup and spending 21 weeks as No. 1 in the World Amateur Golf Ranking."
Matt Mccarty,"Matt McCarty is making his Masters debut and second major championship start. In October in Utah, he earned his first career PGA Tour win in just his third start. On the Korn Ferry Tour in 2024, he won the season-long points race and Player of the Year honors with three wins and nine top-10 finishes. Over 35 days in July-August, he won events in Missouri, Nebraska and Idaho and with his third victory, he earned an automatic promotion to the PGA Tour. He made his first major and first PGA Tour start in the 2022 U.S. Open and by winning the Korn Ferry Tour's season-long points race, he has earned a place in the field for the 2025 U.S. Open at Oakmont."
Matthieu Pavon,"Matthieu Pavon is making his second Masters start. He finished T-12 in his Tournament debut in 2024. Last June at Pinehurst No. 2, he finished fifth in the U.S. Open and was in the final pairing in the final round with eventual champion Bryson DeChambeau. Also last year, he earned his first career PGA Tour win in San Diego, finished third in the AT&T Pebble Beach Pro-Am, competed in his first Tour Championship at East Lake and represented France in the Olympics in Paris. In late 2023, he won the Spanish Open and finished T-5 in the DP World Tour Championship in Dubai to earn his PGA Tour card for the 2024 season."
Maverick Mcnealy,"Maverick McNealy is making his Masters debut. He has four top-10 finishes worldwide in 2025, including runner-up at Torrey Pines in February and T-3 in San Antonio in April. Last November in St. Simons Island, he won by one stroke over three players to earn his first career win in his 142nd start on the PGA Tour. In addition to his win, other high finishes in 2024 included T-3 in Minnesota, T-7 in the Canadian Open and T-9 in the Players Championship. He missed much of 2023 due to a left shoulder injury. Before turning professional, his decorated amateur career included winning a record-tying 11 titles for Stanford University's Men's Golf team in 2014-2016, spending 47 weeks as No. 1 in the World Amateur Golf Ranking and representing the United States in the Arnold Palmer Cup and Walker Cup in both 2015 and 2017."
Max Greyserman,"Max Greyserman is making his Masters debut and third major championship start. Earlier this year, he finished T-7 in La Quinta in January and T-11 in Palm Beach Gardens in March. In 2024 as a PGA Tour rookie, he had six top-10 finishes, including runner-up in Minnesota, Greensboro and Japan and fourth in New Orleans and Mexico. He also finished T-21 in the U.S. Open at Pinehurst No. 2 last year. In 2023 in his fourth season on the Korn Ferry Tour, he earned his PGA Tour card with five top-10 finishes, including runner-up in Colorado and Nebraska. Before turning professional, he played collegiate golf at Duke University and was a 2012 Second Team junior All-American."
Max Homa,"Max Homa is making his sixth Masters start. Last year, he opened with a 67 and finished T-3 at Augusta National. It was his second consecutive top-10 finish in a major, following his T-10 performance in the 2023 Open at Royal Liverpool. Later in 2024, he represented the United States in his second Presidents Cup. In 2023, he won in San Diego and South Africa, competed in his second Tour Championship at East Lake and represented the United States in his first Ryder Cup. Before turning professional, the two-time All-American at the University of California – Berkeley won the NCAA Division I Men's Golf Individual Championship and represented his country in the Walker Cup in 2013."
Michael Kim,"Michael Kim is making his second Masters start and first since 2019. He has five top-15 finishes worldwide in 2025, including runner-up in Phoenix, fourth in the Arnold Palmer Invitational in Orlando and T-6 in Palm Beach Gardens. He closed 2024 with top-12 finishes in Las Vegas, Bermuda and St. Simons Island to retain his PGA Tour card for this season. In July 2018, he earned his first career PGA Tour win with an eight-stroke victory in Illinois. Before turning professional in 2013, the two-time All-American at the University of California, Berkeley won both the Haskins and Nicklaus Awards, earned low amateur honors in the U.S. Open at Merion and represented his country in the Arnold Palmer Cup and Walker Cup that year."
Mike Weir,"Mike Weir is making his 26th Masters start. He won the 2003 Masters in a playoff over Len Mattiace to become Canada's first Masters champion and its first male major champion. He followed in the footsteps of Sandra Post who won the Women's PGA Championship in 1968. He also became the second left-handed major champion and first since Bob Charles won the 1963 Open. Last September at Royal Montreal Golf Club, he was the first Canadian to lead the International team as captain against the United States in the Presidents Cup. He had previously been a member of five International teams. His eight career PGA Tour wins also include a World Golf Championship event in Spain in 2000 and the Tour Championship at Champions Golf Club in Texas in 2001."
Min Woo Lee,"Min Woo Lee is making his fourth Masters start. He has top-25 finishes at Augusta National in two of the past three years. He also has top-25 finishes in five of the last nine major championships, including T-5 in the 2023 U.S. Open at The Los Angeles Country Club. He won in Houston in March by one stroke over Scottie Scheffler and Gary Woodland to earn his first career PGA Tour win and has six top-20 finishes worldwide in 2025. Last year, he finished runner-up in Palm Beach Gardens and Detroit and represented Australia in the Olympics and the Presidents Cup. In the last three months of 2023, he won the Macao Open and Australian PGA Championship. His older sister, Minjee Lee, is a two-time major champion on the LPGA Tour."
Nick Dunlap,"Nick Dunlap is making his second Masters start. Last year, the 2024 PGA Tour Rookie of the Year became the first player in PGA Tour history to win as both an amateur and a professional in the same year. He won in La Quinta, California in January as an amateur and won in Truckee, California in July as a professional. When he won in La Quinta, he became the first amateur to win on the PGA Tour since Phil Mickelson in 1991. He moved up over 4,000 places in the Official World Golf Ranking and, the day before he turned professional, became No. 1 in the World Amateur Golf Ranking. In 2023, he won the U.S. Amateur and represented the United States on winning teams in the Walker Cup in St Andrews and the Eisenhower Trophy in Abu Dhabi."
Nick Taylor,"Nick Taylor is making his third Masters start. He has won on the PGA Tour in each of the past three years, including his victory in Honolulu in January. In 2024, he won in Phoenix and represented Canada in the Olympics in Paris. In 2023, he competed in his first Tour Championship at East Lake after winning the Canadian Open that June. When he made an eagle putt to defeat Tommy Fleetwood in a playoff, he became the first Canadian since Pat Fletcher in 1954 to win his national open. Before turning professional, he spent 20 weeks as the top-ranked amateur in the world and won both the 2009 Mark H. McCormack Medal and the 2010 Ben Hogan Award."
Nico Echavarria,"Nicolas Echavarria is making his Masters debut. He becomes the fourth player representing Colombia to compete in the Masters, joining Miguel Sala, Camilo Villegas and Sebastian Muñoz. In January, he finished runner-up in Honolulu. In the second half of 2024, he represented Colombia in the Olympics in Paris, earned his second career PGA Tour win in Japan and finished T-6 in Mexico and runner-up in St. Simons Island. In 2023, he won the Puerto Rico Open to become Colombia's third winner on the PGA Tour, along with Camilo Villegas and Sebastian Muñoz. Before turning professional, he represented his country in the Eisenhower Trophy and recorded top-20 finishes in each of the first three editions of the Latin America Amateur Championship."
Nicolai Hojgaard,"Nicolai Højgaard is making his second Masters start. In his Masters debut in 2024, he was inside the top six after each of the first three rounds and briefly led on Saturday before finishing T-16. This year, he and twin brother Rasmus will become the first pair of twins to compete in the same Masters Tournament. He finished eighth in the Mexico Open in February. Other highlights of 2024 included finishing seventh in the Olympics for Denmark and closing the year with five consecutive top-25 performances in DP World Tour events in France, Spain, South Korea, the United Arab Emirates and South Africa. He was a member of the winning European Ryder Cup team in Italy in 2023."
Noah Kent,"Noah Kent is making his Masters debut and first major championship start. Last August at Hazeltine National Golf Club in Minnesota, he finished runner-up in the U.S. Amateur to Jose Luis Ballester and earned invitations to both the Masters and the U.S. Open in 2025. He had four top-15 finishes last fall, including T-5 in the Fighting Irish Classic and eighth in the Fallen Oak Collegiate Invitational. He also finished runner-up in the Porter Cup in New York and T-7 in the Australian Amateur last year. In December, he was among a group of American players to participate in a practice session for the 2025 Walker Cup."
Patrick Cantlay,"Patrick Cantlay is making his ninth Masters start. The 2012 Masters Low Amateur has finished inside the top 25 in four of the past six Masters and eight of the past 10 major championships. Earlier this year, he finished T-5 in La Quinta in January and at Torrey Pines in February. In 2024, he finished T-3 in Hilton Head Island and the U.S. Open, competed in his seventh Tour Championship and represented the United States in his third Presidents Cup. In 2023, he had seven top-five finishes on the PGA Tour, finished inside the top 15 in three of the four majors and represented the United States in his second Ryder Cup. Before turning professional, he spent 55 weeks as the top-ranked amateur in the world and represented his country in both the Arnold Palmer Cup and Walker Cup in 2011."
Patrick Reed,"Patrick Reed is making his 12th Masters start. He has top-12 finishes in five of the past seven years at Augusta National. He won the 2018 Masters by one stroke over Rickie Fowler with a score of 15-under-par 273. Before turning professional, he played collegiate golf at Augusta University and in both 2010 and 2011, he helped lead the Jaguars to the NCAA Division I Men's Golf Championship title and earned All-America honors. In March, he finished runner-up in an Asian Tour event in Macao. Late in 2024, he won the Hong Kong Open and finished T-10 in the Spanish Open. He has represented the United States in the Ryder Cup, Presidents Cup and the Olympics."
Patton Kizzire,"Patton Kizzire is making his third Masters start and first since 2019. He is also making his first major championship start since the 2022 U.S. Open. In September, he won in Napa for his third career PGA Tour win and first since winning in Mexico in 2017 and Honolulu in 2018. Also last year, he finished T-8 in Truckee, California, T-10 in Myrtle Beach and T-11 in Mississippi. He first earned his PGA Tour card through the Korn Ferry Tour in 2015 when he earned Player of the Year honors with two wins and 12 top-10 finishes. Before turning professional, he played collegiate golf at Auburn University where he was a two-time All-Southeastern Conference selection."
Phil Mickelson,"Phil Mickelson is making his 32nd Masters start. The 2004, 2006 and 2010 champion is one of eight players with at least three Masters wins, with Jack Nicklaus, Tiger Woods, Arnold Palmer, Jimmy Demaret, Sam Snead, Gary Player and Nick Faldo. He earned Low Amateur honors in his Tournament debut in 1991 and in 2023 at the age of 52, he finished runner-up to record the highest finish by a player 50 years and older in Masters history. Two years earlier in 2021, the World Golf Hall of Fame member won the PGA Championship to become the game's oldest major champion. Before turning professional, he won three NCAA Division I Men's Individual Championships with Arizona State University and represented the United States in two Walker Cups in 1989 and 1991."
Rafael Campos,"Rafael Campos is making his Masters debut and first major championship start. In November, he won in Bermuda by three strokes over Andrew Novak to earn his first career PGA Tour win. His six top-25 finishes in 2024 also included a T-9 in the Byron Nelson in Texas, T-13 in Napa and T-14 in the Dominican Republic. The two-time Olympian for Puerto Rico is following in the footsteps of World Golf Hall of Fame member and eight-time PGA Tour winner Chi Chi Rodriguez who competed in 14 Masters between 1961 and 1982 and finished T-10 at Augusta National in both 1970 and 1973."
Rasmus Hojgaard,"Rasmus Højgaard is making his Masters debut. Last year at Augusta National, his twin brother Nicolai led through 10 holes in the third round before finishing T-16. He has joined Nicolai as a member of the PGA Tour in 2025 following his performance on the DP World Tour last year. In 2024, he had six top-four finished worldwide, including a win in the Irish Open, runner-up in the DP World Tour Championship, third in the British Masters and T-4 in the Netherlands. In 2023, he won the Danish Golf Championship and finished fourth in the French Open. The twin brothers, who both have multiple wins on the DP World Tour, helped Denmark earn its first victory in the Eisenhower Trophy in 2018 in Ireland."
Robert Macintyre,"Robert MacIntyre is making his third Masters start and first in three years. In both 2021 and 2022, he finished inside the top 25 at Augusta National. He has five top-15 finishes worldwide this year, including T-6 in Phoenix and ninth in the Players Championship. In 2024, he competed in his first Tour Championship at East Lake after winning both the Canadian Open and his native Scottish Open and finishing T-7 in Memphis and T-8 in the PGA Championship. In 2023, he finished runner-up in the Scottish Open and was a member of the winning European team in the Ryder Cup. Before turning professional, he finished runner-up in the 2016 Amateur Championship and represented Great Britain & Ireland in the 2017 Walker Cup."
Rory Mcilroy,"Rory McIlroy is making his 17th Masters start. He is one Masters win away from completing the career Grand Slam and would join Gene Sarazen, Ben Hogan, Gary Player, Jack Nicklaus and Tiger Woods as those to accomplish that feat. In 2014-2022, he finished inside the top 10 in seven of nine starts at Augusta National, including runner-up in 2022. He won the AT&T Pebble Beach Pro-Am in February and the Players Championship in March. In 2024, he won events in Dubai, New Orleans and Charlotte, finished runner-up in the U.S. Open, secured his sixth season-long points title on the DP World Tour and competed in the Olympics for the second time. Before turning professional, he earned low amateur honors in The Open and represented Great Britain & Ireland in the Walker Cup in 2007."
Russell Henley,"Russell Henley is making his ninth Masters start. He has made the cut in each of his past seven starts at Augusta National and finished T-4 in 2023. He has top-25 finishes in five of the past eight major championships, including T-7 in the U.S. Open and fifth in The Open in 2024. He has four top-10 finishes worldwide in 2025, including a win in the Arnold Palmer Invitational in March. Last year, he competed in his fourth Tour Championship at East Lake and represented the United States in his first Presidents Cup. Before turning professional, the four-time All-American at the University of Georgia represented his country in both the Arnold Palmer Cup and Walker Cup."
Sahith Theegala,"Sahith Theegala is making his third Masters start. He finished ninth in his Tournament debut in 2023. His nine top-10 finishes on the PGA Tour in 2024 included runner-up in Maui and Hilton Head Island and third in the Tour Championship at East Lake. Also last year, he finished T-12 in the PGA Championship at Valhalla and represented the United States in his first Presidents Cup. In September 2023, he earned his first career PGA Tour win in Napa, California. Before turning professional, the three-time All-American at Pepperdine University won the Fred Haskins, Ben Hogan and Jack Nicklaus Awards in 2020 as the top collegiate golfer in the United States and represented his country in the 2018 Arnold Palmer Cup."
Sam Burns,"Sam Burns is making his fourth Masters start. In 2024, he closed his PGA Tour season by finishing T-5 in Memphis and runner-up in Colorado to qualify for his fourth consecutive Tour Championship at East Lake and represented the United States in the Presidents Cup for the second time in Canada. He also finished T-9 in the U.S. Open at Pinehurst No. 2 for his first top 10 in a major. In 2023, he won the WGC-Match Play in Austin, finished sixth in two title defenses in Tampa and Fort Worth and represented the United States in the Ryder Cup in Italy."
Scottie Scheffler,"Scottie Scheffler is making his sixth Masters start. He is one of two Masters champions with Horton Smith to earn his first two wins in five or fewer starts and has never finished outside the top 20 at Augusta National. He won last year's Tournament by four strokes over Ludvig Åberg and won in 2022 by three strokes over Rory McIlroy. He has two top-10 finishes worldwide in 2025, including T-3 at Torrey Pines in February. His historic 2024 also included winning the PGA Tour's season-long points race, successfully defending his Players Championship title and becoming an Olympic gold medalist. Since 2022, the three-time PGA Tour Player of the Year has also won both the Arnold Palmer Invitational and the Memorial Tournament. He has represented the United States in the Ryder Cup, Presidents Cup and Walker Cup."
Sepp Straka,"Sepp Straka is making his fourth Masters start. He is one of two players representing Austria to compete in the Masters along with Bernd Wiesberger. He has made the cut in each of his three Tournament starts and his T-16 performance last year is his best finish at Augusta National. He has seven top-15 finishes worldwide in 2025, including a win in La Quinta in January. In 2024, he competed in his third Tour Championship, represented Austria in the Olympics for the second time and finished T-5 in Hilton Head Island, Fort Worth and the Memorial Tournament. In 2023, he won in Illinois, represented Europe in his first Ryder Cup in Italy and finished runner-up in The Open at Royal Liverpool and T-7 in the PGA Championship at Oak Hill."
Sergio Garcia,"Sergio Garcia is making his 26th Masters start. He won the 2017 Masters in a playoff to join Seve Ballesteros and Jose Maria Olazabal as champions representing Spain. Like Jon Rahm in 2023, he won on what would have been Ballesteros' birthday on April 9. In his Tournament debut in 1999, he earned Low Amateur honors in the same year that Olazabal won his second Masters. He is one of seven Low Amateurs to go on to win the Masters, along with Cary Middlecoff, Jack Nicklaus, Ben Crenshaw, Tiger Woods, Phil Mickelson and Hideki Matsuyama. He finished fourth in an Asian Tour event in Macao in March and last June, he finished T-12 in the U.S. Open at Pinehurst No. 2. Before turning professional, he won both the 1997 R&A Boys' Amateur and 1998 Amateur Championship and represented Spain in the Eisenhower Trophy."
Shane Lowry,"Shane Lowry is making his 10th Masters start. He has top-25 finishes at Augusta National in four of the past five years, including T-3 in 2022. He has four top-12 finishes worldwide in 2025, including runner-up in the AT&T Pebble Beach Pro-Am in February. In 2024, he competed in his first Tour Championship at East Lake, won a team event in New Orleans with Rory McIlroy, recorded sixth-place finishes in both the PGA Championship and The Open and represented Ireland in the Olympics. He also tied the major-championship record for lowest 18-hole score with his 62 in the third round of the PGA Championship last year. The 2019 Open champion at Royal Portrush has top-four finishes in all four major championships."
Stephan Jaeger,"Stephan Jaeger is making his second Masters start. Earlier in 2025, he finished T-3 in Honolulu in January and T-6 in the Mexico Open in February. In March 2024, he won in Houston by one stroke over five players for his first career PGA Tour victory. Also last year, he represented Germany in the Olympics in Paris and finished runner-up in Utah and T-3 in San Diego and the Mexico Open. Prior to his recent success on the PGA Tour, he won six times on the Korn Ferry Tour and was that tour's player of the year in 2021. He earned All-America honors for the University of Tennessee, Chattanooga in 2012."
Sungjae Im,"Sungjae Im is making his sixth Masters start. He has three top-16 finishes at Augusta National, including runner-up in his Tournament debut in 2020 and T-8 in 2022. In January, he finished third in Maui and T-4 in San Diego. Last year, he recorded top-four performances in Charlotte, Hartford and Scotland, finished T-7 in The Open at Royal Troon, competed in his sixth consecutive Tour Championship at East Lake and represented the International team in his third consecutive Presidents Cup. In October 2023 in the Asian Games in China, he won a team gold medal and an individual silver medal for South Korea. He also represented his country in the Olympics in Japan in 2021 and earned PGA Tour Rookie of the Year honors in 2019."
Taylor Pendrith,"Taylor Pendrith is making his Masters debut. He has three top-15 finishes worldwide this year, including T-7 in San Diego and T-9 in the AT&T Pebble Beach Pro-Am. In 2024, he earned his first career PGA Tour win in the Byron Nelson in Texas, recorded top-five finishes in events in California and Minnesota in consecutive weeks in July, competed in his first Tour Championship at East Lake and represented the International team in his second Presidents Cup. He was one of three Canadians on captain Mike Weir's team at Royal Montreal Golf Club in September with his former Kent State University teammates Corey Conners and Mackenzie Hughes."
Thomas Detry,"Thomas Detry is making his Masters debut. He becomes the fourth player representing Belgium to compete in the Masters, joining Flory Van Donck, Nicolas Colsaerts and Thomas Pieters. The two-time Olympian for Belgium has top-15 finishes in each of his last three major starts, including T-4 in the PGA Championship at Valhalla and T-14 in the U.S. Open at Pinehurst No. 2 last year. He won in Phoenix in February for his first career victory on the PGA Tour. Before turning professional, the three-time All-American at the University of Illinois represented his country in the Eisenhower Trophy and Arnold Palmer Cup."
Thriston Lawrence,"Thriston Lawrence is making his Masters debut. Last July, he finished T-4 in The Open at Royal Troon for his first top-10 finish in a major championship. He earned his 2025 PGA Tour card through the DP World Tour where he had five runner-up finishes in 2024, including the European Open in Germany and its flagship event in England. In 2023, he won a DP World Tour event in Germany and finished T-3 in the Irish Open and T-5 in the DP World Tour Championship in Dubai. Between November 2021 and December 2022, he won three times on the DP World Tour, including victories in Switzerland and the South African Open in 2022."
Tom Hoge,"Tom Hoge is making his third Masters start and first since 2023. He finished T-3 in the Players Championship in March and T-5 in San Antonio in April. In 2024, he competed in his second Tour Championship at East Lake and finished T-3 in Hartford, T-6 in Pebble Beach, T-7 in Napa and eighth in Los Angeles. In 2023, he finished T-3 in the Players Championship after shooting a course-record 62 in the third round at TPC Sawgrass. In 2022, he earned his first career PGA Tour win in the AT&T Pebble Beach Pro-Am, finished T-9 in the PGA Championship at Southern Hills and competed in his first Tour Championship. Last October, he joined 1971 Masters Champion Charles Coody and World Golf Hall of Fame writer Dan Jenkins as members of the Texas Christian University Athletics Hall of Fame."
Tom Kim,"Tom Kim is making his third Masters start. His final-round 66 in last year's Tournament was the low score of the day by two strokes. Also last year, he finished runner-up in Hartford, South Korea and the Bahamas and represented his country in the Olympics and the Presidents Cup. In 2023, he finished runner-up in The Open and T-8 in the U.S. Open, competed in his first Tour Championship at East Lake and successfully defended his title in Las Vegas. He earned his first two PGA Tour wins in 2022 with victories in Greensboro and Las Vegas. In addition to his PGA Tour success, he has worldwide wins in Singapore, India, Pakistan, Malaysia, Indonesia and South Korea."
Tommy Fleetwood,"Tommy Fleetwood is making his ninth Masters start. Last year, he finished T-3 in his best performance at Augusta National. He has top-five finishes in all four major championships, including runner-up in the 2018 U.S. Open at Shinnecock Hills and 2019 Open at Royal Portrush. In February, he finished T-5 at Torrey Pines. In the second half of 2024, he earned the Olympic silver medal for Great Britain, competed in his fourth Tour Championship on the PGA Tour and finished third in DP World Tour events in Spain and St Andrews. In 2023, he secured the winning point for Europe in the Ryder Cup in Italy. Before turning professional, he finished runner-up in the 2008 Amateur Championship and represented Great Britain & Ireland in the 2009 Walker Cup."
Tony Finau,"Tony Finau is making his eighth Masters start. He has three top-10 finishes and has never missed the cut at Augusta National. He has finished inside the top five in all four major championships, including third in the 2019 Open at Royal Portrush and T-3 in the 2024 U.S. Open at Pinehurst No. 2. In February, he finished T-5 at Torrey Pines. Highlights of 2024 include competing in his eighth Tour Championship and representing the United States in his third Presidents Cup. From 2022-2023, he won four times on the PGA Tour, winning the Mexico Open in 2023 and winning in Minnesota, Detroit and Houston in 2022."
Tyrrell Hatton,"Tyrrell Hatton is making his ninth Masters start. He has top-10 finishes in all four major championships, including top-six performances in the U.S. Open and The Open and T-9 in last year's Masters. He won in Dubai in January and last fall, he ended 2024 with top-10 finishes in five events, including a win in St Andrews and runner-up in Abu Dhabi. In 2023, he finished runner-up in the flagship events of both the PGA Tour and DP World Tour, competed in his second Tour Championship at East Lake and represented Europe in his third consecutive Ryder Cup. Other notable wins include both the Arnold Palmer Invitational and the DP World Tour's flagship event in England in 2020."
Viktor Hovland,"Viktor Hovland is making his sixth Masters start. In 2019, he earned Low Amateur honors as Norway's first Tournament participant. He won in Tampa in March for his first victory since the 2023 Tour Championship. In 2024, the two-time Olympian finished runner-up in Memphis and third in the PGA Championship. In 2023, he won the PGA Tour's season-long points title with three victories, finished runner-up in the PGA Championship and represented Europe in his second Ryder Cup. Before turning professional, the three-time All-American at Oklahoma State University won the 2018 U.S. Amateur and represented his country in both the Eisenhower Trophy and Arnold Palmer Cup."
Will Zalatoris,"Will Zalatoris is making his fourth Masters start. He has top-10 finishes in each of his three starts at Augusta National, including runner-up in his Tournament debut in 2021. He has seven top-10 finishes in major championships, including runner-up in both the PGA Championship and U.S. Open in 2022. After missing most of the 2023 season following back surgery, he returned to competition in 2024 by finishing runner-up in Los Angeles and T-4 in the Arnold Palmer Invitational early in the year and then closing his season with top-15 finishes in Memphis and Colorado. Before turning professional, the three-time All-American at Wake Forest University won the 2014 U.S. Junior Amateur and represented his country in the 2016 Arnold Palmer Cup and 2017 Walker Cup."
Wyndham Clark,"Wyndham Clark is making his second Masters start. He finished T-5 in Houston in March. In 2024, he won the AT&T Pebble Beach Pro-Am, and finished runner-up in the Arnold Palmer Invitational and the Players Championship in consecutive weeks. He also represented the United States in both the Olympics and the Presidents Cup and competed in his second consecutive Tour Championship in 2024. In 2023, he won the U.S. Open at The Los Angeles Country Club for his first major title, earned his first career PGA Tour win in Charlotte and represented the United States in the Ryder Cup. Before turning professional, he earned conference player of the year honors at both Oklahoma State and Oregon and represented his country in the 2014 Arnold Palmer Cup."
Xander Schauffele,"Xander Schauffele is making his eighth Masters start. He has top-10 finishes in four of the past six years at Augusta National and was runner-up in 2019 to Tiger Woods and T-3 in 2021. In 2024, he won both the PGA Championship at Valhalla and The Open at Royal Troon to become the sixth to win those two majors in the same year, with Walter Hagen, Nick Price, Tiger Woods, Padraig Harrington and Rory McIlroy. In his 30 major starts, he has 15 top-10 and 23 top-20 finishes. Also last year, the 2021 Olympic gold medalist finished inside the top seven in the Tour Championship at East Lake for the eighth consecutive year and represented the United States in both the Olympics and the Presidents Cup."
Zach Johnson,"Zach Johnson is making his 21st Masters start. He won the 2007 Masters by two strokes over Retief Goosen, Rory Sabbatini and Tiger Woods in his third Tournament start. He is one of three to win with a score of one-over-par 289, along with Sam Snead in 1954 and Jack Burke Jr. in 1956. He played the par-five holes in 11-under par while never attempting to hit the green in two on Nos. 2, 8, 13 and 15. The 2015 Open champion is one of six to win major championships at Augusta National and St Andrews, with Sam Snead, Jack Nicklaus, Seve Ballesteros, Nick Faldo and Tiger Woods. He has represented his country in the Presidents Cup and Ryder Cup and in 2023 in Italy, he was the United States Ryder Cup captain."